,layerSize,layerNum,dropout,optimizer,accuracy,executionTime
37,2048,2,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.019200000911951065,75.90288281440735
38,2048,2,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.11699999868869781,81.7107162475586
39,2048,2,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.02879999950528145,78.65654253959656
40,2048,2,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.05660000070929527,80.32449173927307
41,2048,2,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.018300000578165054,76.48285365104675
42,2048,4,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,108.36846780776978
43,2048,4,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.033799998462200165,99.8848671913147
44,2048,4,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,109.66061806678772
45,2048,4,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.015300000086426735,102.08983540534973
46,2048,4,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,107.96555924415588
47,2048,4,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,100.60513710975647
48,2048,6,0.2,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,139.77696418762207
49,2048,6,0.2,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.023800000548362732,125.17830753326416
50,2048,6,0.4,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,137.87273025512695
51,2048,6,0.4,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.015200000256299973,124.5773994922638
52,2048,6,0.6,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x0000016A8755DC70>,0.009999999776482582,137.7867510318756
53,2048,6,0.6,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x0000016AB02E8790>,0.009999999776482582,127.40856266021729
